Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/4/2021,2021,Pitcher X,Right,1,1,Left,1,0,0,FASTBALL,92.726326,19.90298254,2.903771488,6.892221127,0.853556924,6.027166884,4.145686157,0.91749678,2130.329559,194.2190189,0.0133004,0.52928412,0.007039691
4/4/2021,2021,Pitcher X,Right,1,1,Left,2,1,0,FASTBALL,92.40030338,19.11499569,1.198045564,6.830668979,0.759856294,6.238262233,2.973034245,0.245531033,2098.576019,192.0366833,0.64630276,0.177909985,0.114983714
4/4/2021,2021,Pitcher X,Right,1,2,Left,1,0,0,FASTBALL,93.75682197,20.81983658,1.711036461,6.863530966,0.753431476,6.19910101,2.983422538,0.897577025,2096.784679,198.73087,0.082274936,0.256072402,0.021068341
4/4/2021,2021,Pitcher X,Right,1,2,Left,2,0,1,CUTTER,90.62142434,10.31012275,-1.18599515,6.862844473,0.887444192,6.037400074,2.155949493,1.471419649,2144.092839,179.9960635,0.006835266,0.250470936,0.001712035
4/4/2021,2021,Pitcher X,Right,1,2,Left,3,1,1,FASTBALL,92.89872636,20.51754157,0.61087335,6.811252464,0.780988266,6.178079808,1.773118975,0.188799005,2190.435605,192.3665542,0.504616499,0.083960608,0.042367908
4/4/2021,2021,Pitcher X,Right,1,2,Left,4,1,2,FASTBALL,94.0075998,20.77526414,1.100823129,6.850740748,0.817443671,6.105774244,4.451173269,0.357106713,2082.198906,199.4443153,0.231518552,0.581715465,0.134677922
4/4/2021,2021,Pitcher X,Right,1,2,Left,5,2,2,CHANGEUP,84.46171222,10.74571974,9.234817913,6.665494272,0.75170083,6.105093107,1.464962668,0.563714433,1340.926411,219.3063621,0.898637831,0.244674832,0.21987406
4/4/2021,2021,Pitcher X,Right,1,2,Left,6,2,2,CUTTER,90.07432692,9.563454174,-4.604011963,6.836197751,0.904694261,6.148007844,2.195123075,0.05653908,2287.58001,176.4829744,0.974767029,0.110465154,0.10767779
4/4/2021,2021,Pitcher X,Right,1,3,Right,1,0,0,CUTTER,88.92176844,4.787297699,-7.901325236,6.887286097,0.796343286,6.055538889,3.247403713,-0.075926144,2313.181127,159.4660718,0.267588377,0.487781644,0.130524698
4/4/2021,2021,Pitcher X,Right,1,3,Right,2,0,1,CURVEBALL,77.16308838,-13.95384846,-4.901615203,6.912152246,0.572792576,6.000809995,2.705893933,0.545429345,2578.190158,24.70429339,0.529025316,0.057421144,0.030377239
4/4/2021,2021,Pitcher X,Right,1,3,Right,3,0,2,FASTBALL,94.77724926,18.09921018,0.171059556,6.889517892,0.568359474,6.121187474,2.465862729,-0.681552156,2158.089687,191.6398089,0.888430417,0.185272068,0.16460134
4/4/2021,2021,Pitcher X,Right,1,3,Right,4,0,2,CURVEBALL,78.23896279,-17.84925566,-9.522381649,6.854191784,0.510228541,6.289661376,-1.144151049,0.071563165,2764.543582,11.7984661,0.099260971,0.775939882,0.077020546
4/4/2021,2021,Pitcher X,Right,1,3,Right,5,1,2,FASTBALL,92.76748905,17.97271635,0.194941322,6.758390558,0.616955287,6.378767006,1.386464853,0.110519566,2153.13928,195.8559954,0.387483329,0.072258182,0.027998841
4/4/2021,2021,Pitcher X,Right,1,3,Right,6,2,2,CUTTER,90.8815253,7.213052166,-7.344701892,6.932185185,0.508583382,6.146326034,1.067045234,-1.345503547,2434.573299,178.0903715,0.386140347,0.799343467,0.308658763
4/4/2021,2021,Pitcher X,Right,2,1,Left,1,0,0,FASTBALL,91.29313933,19.68192282,2.647820116,6.844889498,0.711110607,6.082952858,3.958268803,1.058066609,2132.214243,194.2739249,0.014709162,0.458706647,0.00674719
4/4/2021,2021,Pitcher X,Right,2,1,Left,2,1,0,FASTBALL,91.39824501,18.28185381,1.117245629,6.821577209,0.683109528,6.146962865,2.738078895,0.527517742,2129.184937,197.148951,0.357887983,0.153863564,0.055065921
4/4/2021,2021,Pitcher X,Right,2,1,Left,3,1,1,CUTTER,89.26631532,8.41572311,-6.135147648,6.902934073,0.838843604,5.994405711,2.704015584,1.221712605,2333.015988,168.544089,0.053386111,0.246337414,0.013150996
4/4/2021,2021,Pitcher X,Right,2,1,Left,4,2,1,CUTTER,88.43024309,7.268315395,-5.153783751,6.872437991,0.690157634,6.130725894,3.321758986,-0.167434932,2326.967233,159.4179514,0.816661596,0.27520749,0.224751388
4/4/2021,2021,Pitcher X,Right,2,1,Left,5,2,2,FASTBALL,93.94644211,17.88038321,1.845287488,6.856196595,0.672954831,6.238031775,1.965016948,-0.200624202,2177.969445,200.6593888,0.813552022,0.053025309,0.043138847
4/4/2021,2021,Pitcher X,Right,2,2,Right,1,0,0,FASTBALL,91.92679388,17.86791474,0.973961699,6.773673714,0.750205703,6.298692807,2.17415115,0.365097872,2138.979573,197.0350783,0.401282698,0.091090985,0.036553236
4/4/2021,2021,Pitcher X,Right,2,2,Right,2,0,1,CUTTER,89.16685858,5.786567881,-5.421527308,6.849358468,0.599910514,6.130681262,1.565029424,0.154456247,2295.404163,151.3257133,0.683421671,0.188004941,0.128486651
4/4/2021,2021,Pitcher X,Right,2,2,Right,3,0,2,CUTTER,91.79379655,9.045652113,-3.968725216,6.921934729,0.446682079,6.090680052,2.085833627,-0.366358996,2277.003708,173.4596256,0.94432795,0.081318244,0.076791091
4/4/2021,2021,Pitcher X,Right,2,2,Right,4,0,2,FASTBALL,92.66144732,17.4601975,2.759197329,6.892027326,0.607098927,6.029089928,4.419577549,0.710707892,2169.288322,197.1643176,0.062267575,0.65260613,0.040636201
4/4/2021,2021,Pitcher X,Right,2,2,Right,5,1,2,CURVEBALL,78.12550302,-12.69194105,-5.77562926,6.874919139,0.479119889,6.253600494,0.472770038,-0.766729907,2761.180169,20.79338973,0.215878248,0.857384264,0.185090613
4/4/2021,2021,Pitcher X,Right,2,2,Right,6,2,2,CURVEBALL,77.44714536,-12.82438637,-9.064621464,6.911652733,0.514020096,5.941506669,2.956294484,0.776009858,2786.830849,25.45870424,0.609545708,0.053094622,0.032363599
4/4/2021,2021,Pitcher X,Right,2,2,Right,7,2,2,FASTBALL,92.43193568,18.70429398,2.156407343,6.786010731,0.772237797,6.262302594,2.169031396,1.192805525,2045.209027,193.1708352,0.094593294,0.090763286,0.008585598
4/4/2021,2021,Pitcher X,Right,2,2,Right,8,2,2,CHANGEUP,82.76858054,9.139013223,12.56663405,6.740264065,0.618080902,6.175344788,1.372315913,1.13421517,1292.892326,217.6675034,0.530005753,0.530772805,0.28131264
4/4/2021,2021,Pitcher X,Right,2,2,Right,9,3,2,CUTTER,89.74835553,7.135966518,-6.415995773,6.900308568,0.520041165,6.101293566,2.38242232,0.039699413,2314.03282,176.3712932,0.982199669,0.080208272,0.078780538
4/4/2021,2021,Pitcher X,Right,2,3,Left,1,0,0,FASTBALL,93.39623003,15.43172485,1.883131085,6.873196954,0.667972739,6.220573735,2.302948397,0.757112354,2052.683057,200.7066974,0.095884956,0.121593088,0.011658948
4/4/2021,2021,Pitcher X,Right,2,3,Left,2,0,1,FASTBALL,92.08037777,15.53668824,3.310600826,6.876766349,0.734427939,6.070826002,3.261536287,0.375896377,2082.420406,190.2412072,0.772823632,0.216596022,0.167390525
4/4/2021,2021,Pitcher X,Right,2,3,Left,3,0,2,CHANGEUP,84.19001462,8.487266113,11.75511878,6.696752501,0.750740534,6.231836627,-0.399240604,0.281719733,1341.874722,217.9685255,0.028148336,0.87947309,0.024755704
